date,open,high,low,close,volume,Name
2021-01-01,0.515,0.525,0.483,0.499,16686885.33,BTCDOWNUSDT.csv
2021-01-02,0.499,0.515,0.371,0.39899999999999997,72581504.72,BTCDOWNUSDT.csv
2021-01-03,0.4,0.40399999999999997,0.335,0.38,61113023.67,BTCDOWNUSDT.csv
2021-01-04,0.379,0.515,0.361,0.365,61837152.42,BTCDOWNUSDT.csv
2021-01-05,0.365,0.425,0.3,0.312,57026933.43,BTCDOWNUSDT.csv
2021-01-06,0.312,0.327,0.247,0.249,69118939.21,BTCDOWNUSDT.csv
2021-01-07,0.249,0.259,0.19399999999999998,0.207,93097526.13,BTCDOWNUSDT.csv
2021-01-08,0.207,0.245,0.175,0.192,127870911.26,BTCDOWNUSDT.csv
2021-01-09,0.192,0.215,0.182,0.2,59495025.79,BTCDOWNUSDT.csv
2021-01-10,0.2,0.265,0.185,0.217,119860994.5,BTCDOWNUSDT.csv
2021-01-11,0.217,0.36200000000000004,0.21600000000000003,0.255,273470877.51,BTCDOWNUSDT.csv
2021-01-12,0.255,0.31,0.23,0.27899999999999997,171518611.02,BTCDOWNUSDT.csv
2021-01-13,0.27899999999999997,0.31,0.212,0.22,126002095.86,BTCDOWNUSDT.csv
2021-01-14,0.221,0.231,0.177,0.192,124829879.14,BTCDOWNUSDT.csv
2021-01-15,0.192,0.257,0.184,0.2238,174967434.96,BTCDOWNUSDT.csv
2021-01-16,0.2238,0.2468,0.203,0.23600000000000002,131532769.74,BTCDOWNUSDT.csv
2021-01-17,0.23600000000000002,0.2742,0.2228,0.239,111122431.86,BTCDOWNUSDT.csv
2021-01-18,0.2389,0.258,0.2128,0.22699999999999998,85594978.8,BTCDOWNUSDT.csv
2021-01-19,0.2265,0.243,0.20600000000000002,0.2428,78326264.44,BTCDOWNUSDT.csv
2021-01-20,0.2417,0.2889,0.233,0.2506,133624565.41,BTCDOWNUSDT.csv
2021-01-21,0.2517,0.3649,0.2469,0.3437,175130799.33,BTCDOWNUSDT.csv
2021-01-22,0.3433,0.4,0.2655,0.2829,149391325.76,BTCDOWNUSDT.csv
2021-01-23,0.2829,0.3146,0.2735,0.2995,101771226.43,BTCDOWNUSDT.csv
2021-01-24,0.3,0.325,0.2813,0.2973,77838211.98,BTCDOWNUSDT.csv
2021-01-25,0.2973,0.302,0.25,0.2956,94733948.28,BTCDOWNUSDT.csv
2021-01-26,0.2956,0.3228,0.26899999999999996,0.2799,102472250.12,BTCDOWNUSDT.csv
2021-01-27,0.2799,0.3647,0.2771,0.3345,152002229.94,BTCDOWNUSDT.csv
2021-01-28,0.3334,0.349,0.2521,0.2601,111220950.12,BTCDOWNUSDT.csv
2021-01-29,0.2601,0.2889,0.1757,0.2286,377125077.56,BTCDOWNUSDT.csv
2021-01-30,0.2287,0.2507,0.2151,0.2276,83416893.71,BTCDOWNUSDT.csv
2021-01-31,0.2274,0.268,0.226,0.2509,52263285.17,BTCDOWNUSDT.csv
2021-02-01,0.2505,0.2672,0.22,0.2438,70742999.87,BTCDOWNUSDT.csv
2021-02-02,0.2439,0.2456,0.19699999999999998,0.2043,66344726.61,BTCDOWNUSDT.csv
2021-02-03,0.2043,0.2061,0.1768,0.1771,71710688.89,BTCDOWNUSDT.csv
2021-02-04,0.1775,0.1945,0.1632,0.1858,113853222.43,BTCDOWNUSDT.csv
2021-02-05,0.1858,0.1907,0.1696,0.1707,64058801.27,BTCDOWNUSDT.csv
2021-02-06,0.1705,0.1716,0.14300000000000002,0.1596,142229066.27,BTCDOWNUSDT.csv
2021-02-07,0.1598,0.179,0.1541,0.1644,129124170.01,BTCDOWNUSDT.csv
2021-02-08,0.1642,0.1731,0.0968,0.1005,265391066.59,BTCDOWNUSDT.csv
2021-02-09,0.1005,0.1084,0.0906,0.1006,315894792.19,BTCDOWNUSDT.csv
2021-02-10,0.1008,0.1176,0.0959,0.1109,261217824.4,BTCDOWNUSDT.csv
2021-02-11,0.1113,0.1165,0.0877,0.0926,307411773.51,BTCDOWNUSDT.csv
2021-02-12,0.0927,0.0999,0.086,0.095,317233502.92,BTCDOWNUSDT.csv
2021-02-13,0.0951,0.1006,0.0915,0.0961,239974872.97,BTCDOWNUSDT.csv
2021-02-14,0.0963,0.0972,0.0853,0.0908,261063913.87,BTCDOWNUSDT.csv
2021-02-15,0.0908,0.1026,0.0851,0.0904,285677376.31,BTCDOWNUSDT.csv
2021-02-16,0.0905,0.0954,0.0752,0.0843,330564139.94,BTCDOWNUSDT.csv
2021-02-17,0.0844,0.0854,0.0685,0.0711,347317665.97,BTCDOWNUSDT.csv
2021-02-18,0.0711,0.0766,0.0695,0.0741,191141265.23,BTCDOWNUSDT.csv
2021-02-19,0.0743,0.078,0.0581,0.0597,296784006.62,BTCDOWNUSDT.csv
2021-02-20,0.0598,0.0658,0.0555,0.0607,390934829.21,BTCDOWNUSDT.csv
2021-02-21,0.0608,0.0619,0.0536,0.0567,302044702.14,BTCDOWNUSDT.csv
2021-02-22,0.0569,0.0861,0.0566,0.0646,667002990.37,BTCDOWNUSDT.csv
2021-02-23,0.0646,0.0978,0.0643,0.0813,999594781.33,BTCDOWNUSDT.csv
2021-02-24,0.0814,0.0896,0.071,0.0785,642442225.25,BTCDOWNUSDT.csv
2021-02-25,0.0784,0.0914,0.0683,0.0895,619151099.56,BTCDOWNUSDT.csv
2021-02-26,0.0894,0.1017,0.0842,0.0927,728165935.28,BTCDOWNUSDT.csv
2021-02-27,0.0928,0.0987,0.0837,0.0941,357358229.75,BTCDOWNUSDT.csv
2021-02-28,0.094,0.1075,0.0916,0.0978,550393543.03,BTCDOWNUSDT.csv
2021-03-01,0.0981,0.0991,0.0761,0.0782,473320642.71,BTCDOWNUSDT.csv
2021-03-02,0.0782,0.08800000000000001,0.0754,0.0825,401445132.11,BTCDOWNUSDT.csv
2021-03-03,0.0826,0.0838,0.0655,0.0737,480033851.17,BTCDOWNUSDT.csv
2021-03-04,0.0737,0.0855,0.0681,0.0813,457033811.34,BTCDOWNUSDT.csv
2021-03-05,0.0814,0.08900000000000001,0.0772,0.0801,460627836.17,BTCDOWNUSDT.csv
2021-03-06,0.0799,0.0865,0.0779,0.0796,267708543.35,BTCDOWNUSDT.csv
2021-03-07,0.0795,0.0797,0.0697,0.0716,376661290.01,BTCDOWNUSDT.csv
2021-03-08,0.0715,0.0777,0.0656,0.0663,365805875.72,BTCDOWNUSDT.csv
2021-03-09,0.066,0.0681,0.0577,0.057999999999999996,422442659.07,BTCDOWNUSDT.csv
2021-03-10,0.0579,0.0635,0.0506,0.0552,623714235.67,BTCDOWNUSDT.csv
2021-03-11,0.055,0.0598,0.049,0.0501,577214232.19,BTCDOWNUSDT.csv
2021-03-12,0.05,0.0572,0.0492,0.0514,563900893.46,BTCDOWNUSDT.csv
2021-03-13,0.0514,0.0546,0.0407,0.042,639650973.19,BTCDOWNUSDT.csv
2021-03-14,0.042,0.046,0.0411,0.0459,538361111.34,BTCDOWNUSDT.csv
2021-03-15,0.046,0.0542,0.043,0.0526,758449707.51,BTCDOWNUSDT.csv
2021-03-16,0.0525,0.0571,0.0494,0.0494,522799113.34,BTCDOWNUSDT.csv
2021-03-17,0.0493,0.0559,0.0446,0.0448,504768679.5,BTCDOWNUSDT.csv
2021-03-18,0.0449,0.0493,0.0422,0.0477,462389975.09,BTCDOWNUSDT.csv
2021-03-19,0.0479,0.0509,0.0437,0.047,330563492.85,BTCDOWNUSDT.csv
2021-03-20,0.0471,0.0476,0.043,0.0471,299690622.85,BTCDOWNUSDT.csv
2021-03-21,0.0471,0.053,0.046,0.0486,366808655.25,BTCDOWNUSDT.csv
2021-03-22,0.0486,0.0578,0.0461,0.0568,402887988.63,BTCDOWNUSDT.csv
2021-03-23,0.0568,0.0595,0.0524,0.0562,411970232.94,BTCDOWNUSDT.csv
2021-03-24,0.0561,0.0629,0.0492,0.0609,594507462.61,BTCDOWNUSDT.csv
2021-03-25,0.0608,0.0655,0.0577,0.0627,670010600.15,BTCDOWNUSDT.csv
2021-03-26,0.0628,0.063,0.0508,0.051,453941833.07,BTCDOWNUSDT.csv
2021-03-27,0.0511,0.0532,0.0476,0.0494,430657522.09,BTCDOWNUSDT.csv
2021-03-28,0.0494,0.0516,0.0477,0.0493,341002432.49,BTCDOWNUSDT.csv
2021-03-29,0.0493,0.0513,0.0438,0.0455,404073032.68,BTCDOWNUSDT.csv
2021-03-30,0.0455,0.0467,0.042,0.0432,247868764.22,BTCDOWNUSDT.csv
2021-03-31,0.0433,0.0467,0.0413,0.0432,396989744.24,BTCDOWNUSDT.csv
2021-04-01,0.0432,0.0454,0.042,0.0436,218487743.95,BTCDOWNUSDT.csv
2021-04-02,0.0437,0.0446,0.0405,0.0435,250820251.57,BTCDOWNUSDT.csv
2021-04-03,0.0435,0.048,0.0419,0.0476,295321830.77,BTCDOWNUSDT.csv
2021-04-04,0.0475,0.0489,0.0448,0.0455,238383872.53,BTCDOWNUSDT.csv
2021-04-05,0.0456,0.0485,0.0431,0.0435,265480036.76,BTCDOWNUSDT.csv
2021-04-06,0.0435,0.0476,0.0427,0.0463,273221511.41,BTCDOWNUSDT.csv
2021-04-07,0.0464,0.05284,0.045,0.0517,505458888.53,BTCDOWNUSDT.csv
2021-04-08,0.0516,0.052160000000000005,0.046169999999999996,0.046310000000000004,223648374.24,BTCDOWNUSDT.csv
2021-04-09,0.04637,0.04735,0.04437,0.04629,163362038.39,BTCDOWNUSDT.csv
2021-04-10,0.04629,0.04689,0.03884,0.04226,343972981.29,BTCDOWNUSDT.csv
2021-04-11,0.04228,0.0433,0.0408,0.04215,206284071.0,BTCDOWNUSDT.csv
2021-04-12,0.04211,0.0432,0.04005,0.042589999999999996,237992932.24,BTCDOWNUSDT.csv
2021-04-13,0.0426,0.04278,0.03639,0.036860000000000004,371187306.34,BTCDOWNUSDT.csv
2021-04-14,0.03682,0.0408,0.03472,0.03802,442745069.19,BTCDOWNUSDT.csv
2021-04-15,0.03814,0.03979,0.0369,0.0379,174478674.13,BTCDOWNUSDT.csv
2021-04-16,0.03807,0.044000000000000004,0.03755,0.04163,255797043.3,BTCDOWNUSDT.csv
2021-04-17,0.041639999999999996,0.04535,0.03948,0.04438,221239266.79,BTCDOWNUSDT.csv
2021-04-18,0.04445,0.0617,0.043089999999999996,0.05124,587005450.25,BTCDOWNUSDT.csv
2021-04-19,0.05124,0.05485,0.04835,0.05225,427489554.32,BTCDOWNUSDT.csv
2021-04-20,0.05225,0.05687999999999999,0.04732,0.04893,472134334.31,BTCDOWNUSDT.csv
2021-04-21,0.048889999999999996,0.05646,0.04813,0.05596,384361862.97,BTCDOWNUSDT.csv
2021-04-22,0.055979999999999995,0.06411,0.05175,0.060989999999999996,649028680.2,BTCDOWNUSDT.csv
2021-04-23,0.06114,0.07227,0.05997,0.062029999999999995,800318842.51,BTCDOWNUSDT.csv
2021-04-24,0.062,0.0694,0.06171,0.06563,414373349.56,BTCDOWNUSDT.csv
2021-04-25,0.06563,0.075,0.06418,0.0667,436983641.63,BTCDOWNUSDT.csv
